Step 50: {'loss': 1.5921, 'grad_norm': 6.361019134521484, 'learning_rate': 9.84974958263773e-05, 'rewards/chosen': -1.5244029760360718, 'rewards/rejected': -14.055320739746094, 'rewards/accuracies': 0.612500011920929, 'rewards/margins': 12.530917167663574, 'logps/rejected': -7.027660369873047, 'logps/chosen': -0.7622014880180359, 'logits/rejected': 0.9448184967041016, 'logits/chosen': 1.12009596824646, 'nll_loss': 0.9995685815811157, 'log_odds_ratio': -0.2962512969970703, 'log_odds_chosen': 6.950476169586182, 'epoch': 0.00747887218607434}
Step 100: {'loss': 1.613, 'grad_norm': 16.99456214904785, 'learning_rate': 9.682804674457429e-05, 'rewards/chosen': -1.4881982803344727, 'rewards/rejected': -12.656445503234863, 'rewards/accuracies': 0.6225000023841858, 'rewards/margins': 11.168244361877441, 'logps/rejected': -6.328222751617432, 'logps/chosen': -0.7440991401672363, 'logits/rejected': 0.9445918202400208, 'logits/chosen': 1.045914649963379, 'nll_loss': 1.0037134885787964, 'log_odds_ratio': -0.3046412765979767, 'log_odds_chosen': 6.239898681640625, 'epoch': 0.01495774437214868}
Step 150: {'loss': 1.5942, 'grad_norm': 13.949958801269531, 'learning_rate': 9.515859766277128e-05, 'rewards/chosen': -1.4134771823883057, 'rewards/rejected': -13.0947847366333, 'rewards/accuracies': 0.5899999737739563, 'rewards/margins': 11.68130874633789, 'logps/rejected': -6.54739236831665, 'logps/chosen': -0.7067385911941528, 'logits/rejected': 0.7186416387557983, 'logits/chosen': 0.8551940321922302, 'nll_loss': 0.9723567962646484, 'log_odds_ratio': -0.3109097182750702, 'log_odds_chosen': 6.46173095703125, 'epoch': 0.02243661655822302}
Step 200: {'loss': 1.5329, 'grad_norm': 6.953749179840088, 'learning_rate': 9.348914858096829e-05, 'rewards/chosen': -1.4561349153518677, 'rewards/rejected': -14.182913780212402, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 12.726777076721191, 'logps/rejected': -7.091456890106201, 'logps/chosen': -0.7280674576759338, 'logits/rejected': 0.8428249955177307, 'logits/chosen': 0.9873949289321899, 'nll_loss': 0.9786792993545532, 'log_odds_ratio': -0.2771070897579193, 'log_odds_chosen': 6.997775077819824, 'epoch': 0.02991548874429736}
Step 250: {'loss': 1.5777, 'grad_norm': 6.79904842376709, 'learning_rate': 9.181969949916528e-05, 'rewards/chosen': -1.5314199924468994, 'rewards/rejected': -14.894977569580078, 'rewards/accuracies': 0.612500011920929, 'rewards/margins': 13.36355972290039, 'logps/rejected': -7.447488784790039, 'logps/chosen': -0.7657099962234497, 'logits/rejected': 0.843350887298584, 'logits/chosen': 1.0156461000442505, 'nll_loss': 0.989818811416626, 'log_odds_ratio': -0.2939201295375824, 'log_odds_chosen': 7.262582302093506, 'epoch': 0.0373943609303717}
Step 300: {'loss': 1.5822, 'grad_norm': 7.115725517272949, 'learning_rate': 9.015025041736227e-05, 'rewards/chosen': -1.4770785570144653, 'rewards/rejected': -13.592493057250977, 'rewards/accuracies': 0.612500011920929, 'rewards/margins': 12.115413665771484, 'logps/rejected': -6.796246528625488, 'logps/chosen': -0.7385392785072327, 'logits/rejected': 0.8105855584144592, 'logits/chosen': 0.9605333209037781, 'nll_loss': 0.9908543229103088, 'log_odds_ratio': -0.29566487669944763, 'log_odds_chosen': 6.689285755157471, 'epoch': 0.04487323311644604}
Step 350: {'loss': 1.5749, 'grad_norm': 6.463852405548096, 'learning_rate': 8.848080133555928e-05, 'rewards/chosen': -1.4943227767944336, 'rewards/rejected': -16.365745544433594, 'rewards/accuracies': 0.6274999976158142, 'rewards/margins': 14.871421813964844, 'logps/rejected': -8.182872772216797, 'logps/chosen': -0.7471613883972168, 'logits/rejected': 0.7571133971214294, 'logits/chosen': 0.9328601360321045, 'nll_loss': 1.016964316368103, 'log_odds_ratio': -0.2789822518825531, 'log_odds_chosen': 8.115213394165039, 'epoch': 0.05235210530252038}
Step 400: {'loss': 1.6817, 'grad_norm': 15.396687507629395, 'learning_rate': 8.681135225375627e-05, 'rewards/chosen': -1.5812556743621826, 'rewards/rejected': -15.669940948486328, 'rewards/accuracies': 0.5950000286102295, 'rewards/margins': 14.0886869430542, 'logps/rejected': -7.834970474243164, 'logps/chosen': -0.7906278371810913, 'logits/rejected': 0.7399436235427856, 'logits/chosen': 0.9119497537612915, 'nll_loss': 1.0726510286331177, 'log_odds_ratio': -0.3045481741428375, 'log_odds_chosen': 7.647271633148193, 'epoch': 0.05983097748859472}
Step 450: {'loss': 1.5465, 'grad_norm': 9.67385482788086, 'learning_rate': 8.514190317195326e-05, 'rewards/chosen': -1.5220330953598022, 'rewards/rejected': -18.67083740234375, 'rewards/accuracies': 0.6399999856948853, 'rewards/margins': 17.1488037109375, 'logps/rejected': -9.335418701171875, 'logps/chosen': -0.7610165476799011, 'logits/rejected': 0.8239426612854004, 'logits/chosen': 1.046304702758789, 'nll_loss': 1.0018938779830933, 'log_odds_ratio': -0.27229154109954834, 'log_odds_chosen': 9.1981782913208, 'epoch': 0.06730984967466906}
Step 500: {'loss': 1.6497, 'grad_norm': 8.417847633361816, 'learning_rate': 8.347245409015025e-05, 'rewards/chosen': -1.6275413036346436, 'rewards/rejected': -14.817248344421387, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 13.189705848693848, 'logps/rejected': -7.408624172210693, 'logps/chosen': -0.8137706518173218, 'logits/rejected': 0.7943925261497498, 'logits/chosen': 0.9676856398582458, 'nll_loss': 1.0603219270706177, 'log_odds_ratio': -0.29471054673194885, 'log_odds_chosen': 7.143077850341797, 'epoch': 0.0747887218607434}
Step 550: {'loss': 1.5858, 'grad_norm': 8.137096405029297, 'learning_rate': 8.180300500834724e-05, 'rewards/chosen': -1.5061336755752563, 'rewards/rejected': -14.676190376281738, 'rewards/accuracies': 0.6225000023841858, 'rewards/margins': 13.170058250427246, 'logps/rejected': -7.338095188140869, 'logps/chosen': -0.7530668377876282, 'logits/rejected': 0.8051621317863464, 'logits/chosen': 0.9807208776473999, 'nll_loss': 1.0010868310928345, 'log_odds_ratio': -0.29235443472862244, 'log_odds_chosen': 7.209958553314209, 'epoch': 0.08226759404681774}
