Step 50: {'loss': 0.7231, 'grad_norm': 15.54720687866211, 'learning_rate': 9.84974958263773e-05, 'rewards/chosen': -0.005252968054264784, 'rewards/rejected': -0.031074676662683487, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 0.025821710005402565, 'logps/rejected': -3.1074676513671875, 'logps/chosen': -0.5252968072891235, 'logits/rejected': 0.569135308265686, 'logits/chosen': 0.6280432343482971, 'nll_loss': 0.7200459241867065, 'log_odds_ratio': -0.304609090089798, 'log_odds_chosen': 3.46392822265625, 'epoch': 0.007479012022511826}
Step 100: {'loss': 0.7378, 'grad_norm': 21.325279235839844, 'learning_rate': 9.682804674457429e-05, 'rewards/chosen': -0.005365678109228611, 'rewards/rejected': -0.041846390813589096, 'rewards/accuracies': 0.625, 'rewards/margins': 0.03648071363568306, 'logps/rejected': -4.184638977050781, 'logps/chosen': -0.5365678668022156, 'logits/rejected': 0.3645790219306946, 'logits/chosen': 0.4112292230129242, 'nll_loss': 0.734865665435791, 'log_odds_ratio': -0.2947854697704315, 'log_odds_chosen': 4.508973598480225, 'epoch': 0.014958024045023652}
Step 150: {'loss': 0.7059, 'grad_norm': 20.828062057495117, 'learning_rate': 9.515859766277128e-05, 'rewards/chosen': -0.005024811718612909, 'rewards/rejected': -0.04318845272064209, 'rewards/accuracies': 0.5924999713897705, 'rewards/margins': 0.03816364333033562, 'logps/rejected': -4.318845748901367, 'logps/chosen': -0.5024811625480652, 'logits/rejected': 0.11940540373325348, 'logits/chosen': 0.165449321269989, 'nll_loss': 0.7028920650482178, 'log_odds_ratio': -0.3045784533023834, 'log_odds_chosen': 4.660155773162842, 'epoch': 0.022437036067535478}
Step 200: {'loss': 0.7225, 'grad_norm': 14.957229614257812, 'learning_rate': 9.348914858096829e-05, 'rewards/chosen': -0.005210442002862692, 'rewards/rejected': -0.042438287287950516, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 0.037227846682071686, 'logps/rejected': -4.243828296661377, 'logps/chosen': -0.5210442543029785, 'logits/rejected': 0.2585916519165039, 'logits/chosen': 0.2923409938812256, 'nll_loss': 0.7197753190994263, 'log_odds_ratio': -0.2728307843208313, 'log_odds_chosen': 4.601370334625244, 'epoch': 0.029916048090047304}
Step 250: {'loss': 0.7297, 'grad_norm': 15.384243965148926, 'learning_rate': 9.181969949916528e-05, 'rewards/chosen': -0.005481827072799206, 'rewards/rejected': -0.04442724585533142, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 0.03894541785120964, 'logps/rejected': -4.442724704742432, 'logps/chosen': -0.5481827259063721, 'logits/rejected': 0.3119009733200073, 'logits/chosen': 0.3689984977245331, 'nll_loss': 0.7267554998397827, 'log_odds_ratio': -0.2931557893753052, 'log_odds_chosen': 4.673428535461426, 'epoch': 0.03739506011255913}
Step 300: {'loss': 0.7276, 'grad_norm': 15.174954414367676, 'learning_rate': 9.015025041736227e-05, 'rewards/chosen': -0.0052974773570895195, 'rewards/rejected': -0.04241512715816498, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 0.03711765632033348, 'logps/rejected': -4.241513252258301, 'logps/chosen': -0.529747724533081, 'logits/rejected': 0.24094802141189575, 'logits/chosen': 0.289453387260437, 'nll_loss': 0.7246665954589844, 'log_odds_ratio': -0.29557499289512634, 'log_odds_chosen': 4.55941915512085, 'epoch': 0.044874072135070955}
Step 350: {'loss': 0.7604, 'grad_norm': 16.62164878845215, 'learning_rate': 8.848080133555928e-05, 'rewards/chosen': -0.00548783503472805, 'rewards/rejected': -0.04482897371053696, 'rewards/accuracies': 0.6324999928474426, 'rewards/margins': 0.039341144263744354, 'logps/rejected': -4.482897758483887, 'logps/chosen': -0.548783540725708, 'logits/rejected': 0.2038591504096985, 'logits/chosen': 0.2570536732673645, 'nll_loss': 0.7576139569282532, 'log_odds_ratio': -0.2791461944580078, 'log_odds_chosen': 4.8235859870910645, 'epoch': 0.05235308415758278}
Step 400: {'loss': 0.8044, 'grad_norm': 21.315719604492188, 'learning_rate': 8.681135225375627e-05, 'rewards/chosen': -0.005932645406574011, 'rewards/rejected': -0.045362405478954315, 'rewards/accuracies': 0.5950000286102295, 'rewards/margins': 0.039429761469364166, 'logps/rejected': -4.536241054534912, 'logps/chosen': -0.5932645201683044, 'logits/rejected': 0.1768268346786499, 'logits/chosen': 0.2292288988828659, 'nll_loss': 0.8013128042221069, 'log_odds_ratio': -0.3086254894733429, 'log_odds_chosen': 4.738815784454346, 'epoch': 0.05983209618009461}
Step 450: {'loss': 0.7501, 'grad_norm': 18.05463409423828, 'learning_rate': 8.514190317195326e-05, 'rewards/chosen': -0.005595256108790636, 'rewards/rejected': -0.049577292054891586, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 0.04398203268647194, 'logps/rejected': -4.957728862762451, 'logps/chosen': -0.5595256686210632, 'logits/rejected': 0.31037312746047974, 'logits/chosen': 0.377289742231369, 'nll_loss': 0.7473295331001282, 'log_odds_ratio': -0.27405422925949097, 'log_odds_chosen': 5.230468273162842, 'epoch': 0.06731110820260644}
Step 500: {'loss': 0.8057, 'grad_norm': 16.053274154663086, 'learning_rate': 8.347245409015025e-05, 'rewards/chosen': -0.005984108429402113, 'rewards/rejected': -0.0468929298222065, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 0.040908824652433395, 'logps/rejected': -4.689293384552002, 'logps/chosen': -0.5984108448028564, 'logits/rejected': 0.30859237909317017, 'logits/chosen': 0.37356653809547424, 'nll_loss': 0.8027711510658264, 'log_odds_ratio': -0.29544684290885925, 'log_odds_chosen': 4.832132339477539, 'epoch': 0.07479012022511826}
Step 550: {'loss': 0.7601, 'grad_norm': 18.447166442871094, 'learning_rate': 8.180300500834724e-05, 'rewards/chosen': -0.005539405159652233, 'rewards/rejected': -0.04805236682295799, 'rewards/accuracies': 0.6274999976158142, 'rewards/margins': 0.04251296818256378, 'logps/rejected': -4.805237293243408, 'logps/chosen': -0.5539405345916748, 'logits/rejected': 0.2892308533191681, 'logits/chosen': 0.35789954662323, 'nll_loss': 0.757155179977417, 'log_odds_ratio': -0.29163381457328796, 'log_odds_chosen': 5.081558704376221, 'epoch': 0.08226913224763009}
