Step 50: {'loss': 0.6108, 'grad_norm': 16.018281936645508, 'learning_rate': 9.84974958263773e-05, 'rewards/chosen': -0.043418895453214645, 'rewards/rejected': -0.4947723150253296, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 0.45135337114334106, 'logps/rejected': -4.947722434997559, 'logps/chosen': -0.43418896198272705, 'logits/rejected': 0.20500114560127258, 'logits/chosen': 0.297087162733078, 'nll_loss': 0.5820653438568115, 'log_odds_ratio': -0.28760597109794617, 'log_odds_chosen': 5.578948497772217, 'epoch': 0.007479012022511826}
Step 100: {'loss': 0.6261, 'grad_norm': 22.516666412353516, 'learning_rate': 9.682804674457429e-05, 'rewards/chosen': -0.04441574960947037, 'rewards/rejected': -0.6155852675437927, 'rewards/accuracies': 0.625, 'rewards/margins': 0.5711695551872253, 'logps/rejected': -6.155852794647217, 'logps/chosen': -0.44415751099586487, 'logits/rejected': -0.038974303752183914, 'logits/chosen': 0.04287034645676613, 'nll_loss': 0.5980690121650696, 'log_odds_ratio': -0.27999147772789, 'log_odds_chosen': 6.7271037101745605, 'epoch': 0.014958024045023652}
Step 150: {'loss': 0.6009, 'grad_norm': 27.357759475708008, 'learning_rate': 9.515859766277128e-05, 'rewards/chosen': -0.040924072265625, 'rewards/rejected': -0.6009586453437805, 'rewards/accuracies': 0.5924999713897705, 'rewards/margins': 0.5600345730781555, 'logps/rejected': -6.009586334228516, 'logps/chosen': -0.40924072265625, 'logits/rejected': -0.2589266896247864, 'logits/chosen': -0.18142974376678467, 'nll_loss': 0.5712010860443115, 'log_odds_ratio': -0.29692184925079346, 'log_odds_chosen': 6.574395179748535, 'epoch': 0.022437036067535478}
Step 200: {'loss': 0.6163, 'grad_norm': 18.628582000732422, 'learning_rate': 9.348914858096829e-05, 'rewards/chosen': -0.04266545921564102, 'rewards/rejected': -0.6077227592468262, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 0.5650572776794434, 'logps/rejected': -6.077227592468262, 'logps/chosen': -0.42665451765060425, 'logits/rejected': -0.15209943056106567, 'logits/chosen': -0.09080382436513901, 'nll_loss': 0.5902002453804016, 'log_odds_ratio': -0.26103487610816956, 'log_odds_chosen': 6.682109832763672, 'epoch': 0.029916048090047304}
Step 250: {'loss': 0.6214, 'grad_norm': 15.9896821975708, 'learning_rate': 9.181969949916528e-05, 'rewards/chosen': -0.0444730669260025, 'rewards/rejected': -0.6184476613998413, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 0.5739745497703552, 'logps/rejected': -6.184476375579834, 'logps/chosen': -0.44473063945770264, 'logits/rejected': -0.05841292813420296, 'logits/chosen': 0.015006066299974918, 'nll_loss': 0.5929838418960571, 'log_odds_ratio': -0.28406092524528503, 'log_odds_chosen': 6.676260471343994, 'epoch': 0.03739506011255913}
Step 300: {'loss': 0.6262, 'grad_norm': 16.789880752563477, 'learning_rate': 9.015025041736227e-05, 'rewards/chosen': -0.04371345415711403, 'rewards/rejected': -0.5828214883804321, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 0.5391080379486084, 'logps/rejected': -5.8282151222229, 'logps/chosen': -0.4371345639228821, 'logits/rejected': -0.13772159814834595, 'logits/chosen': -0.06271947920322418, 'nll_loss': 0.5976759791374207, 'log_odds_ratio': -0.28493213653564453, 'log_odds_chosen': 6.3742852210998535, 'epoch': 0.044874072135070955}
Step 350: {'loss': 0.6545, 'grad_norm': 20.837968826293945, 'learning_rate': 8.848080133555928e-05, 'rewards/chosen': -0.04566805809736252, 'rewards/rejected': -0.6132521033287048, 'rewards/accuracies': 0.6324999928474426, 'rewards/margins': 0.5675840377807617, 'logps/rejected': -6.132521152496338, 'logps/chosen': -0.4566805958747864, 'logits/rejected': -0.23435281217098236, 'logits/chosen': -0.14069770276546478, 'nll_loss': 0.6275233626365662, 'log_odds_ratio': -0.27019619941711426, 'log_odds_chosen': 6.708305835723877, 'epoch': 0.05235308415758278}
Step 400: {'loss': 0.7027, 'grad_norm': 23.418190002441406, 'learning_rate': 8.681135225375627e-05, 'rewards/chosen': -0.05057504028081894, 'rewards/rejected': -0.588355541229248, 'rewards/accuracies': 0.5950000286102295, 'rewards/margins': 0.5377805233001709, 'logps/rejected': -5.883555889129639, 'logps/chosen': -0.5057504177093506, 'logits/rejected': -0.22601835429668427, 'logits/chosen': -0.13290679454803467, 'nll_loss': 0.673095703125, 'log_odds_ratio': -0.29629743099212646, 'log_odds_chosen': 6.295663833618164, 'epoch': 0.05983209618009461}
Step 450: {'loss': 0.6459, 'grad_norm': 20.48551368713379, 'learning_rate': 8.514190317195326e-05, 'rewards/chosen': -0.04667282477021217, 'rewards/rejected': -0.6823617815971375, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 0.6356889009475708, 'logps/rejected': -6.823616981506348, 'logps/chosen': -0.46672821044921875, 'logits/rejected': -0.11662741005420685, 'logits/chosen': -0.006065026391297579, 'nll_loss': 0.6194784045219421, 'log_odds_ratio': -0.26377007365226746, 'log_odds_chosen': 7.3217926025390625, 'epoch': 0.06731110820260644}
Step 500: {'loss': 0.7044, 'grad_norm': 18.570743560791016, 'learning_rate': 8.347245409015025e-05, 'rewards/chosen': -0.0510157011449337, 'rewards/rejected': -0.6312503218650818, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 0.5802345871925354, 'logps/rejected': -6.312502384185791, 'logps/chosen': -0.51015704870224, 'logits/rejected': -0.0858033075928688, 'logits/chosen': 0.023327790200710297, 'nll_loss': 0.6760870218276978, 'log_odds_ratio': -0.28300732374191284, 'log_odds_chosen': 6.6597185134887695, 'epoch': 0.07479012022511826}
Step 550: {'loss': 0.6631, 'grad_norm': 20.485902786254883, 'learning_rate': 8.180300500834724e-05, 'rewards/chosen': -0.04642220586538315, 'rewards/rejected': -0.6541936993598938, 'rewards/accuracies': 0.6274999976158142, 'rewards/margins': 0.6077715158462524, 'logps/rejected': -6.541936874389648, 'logps/chosen': -0.4642220437526703, 'logits/rejected': -0.11699090152978897, 'logits/chosen': -0.004653886426240206, 'nll_loss': 0.6351396441459656, 'log_odds_ratio': -0.27942192554473877, 'log_odds_chosen': 7.040529727935791, 'epoch': 0.08226913224763009}
