Step 50: {'loss': 1.2772, 'grad_norm': 4.297329902648926, 'learning_rate': 9.84974958263773e-05, 'rewards/chosen': -0.09011956304311752, 'rewards/rejected': -0.11957196891307831, 'rewards/accuracies': 0.6000000238418579, 'rewards/margins': 0.02945242077112198, 'logps/rejected': -1.1957197189331055, 'logps/chosen': -0.9011955261230469, 'logits/rejected': 2.029740571975708, 'logits/chosen': 2.0505762100219727, 'nll_loss': 1.2275147438049316, 'log_odds_ratio': -0.49718981981277466, 'log_odds_chosen': 0.5630249977111816, 'epoch': 0.00747887218607434}
Step 100: {'loss': 1.2806, 'grad_norm': 4.175551414489746, 'learning_rate': 9.682804674457429e-05, 'rewards/chosen': -0.08905264735221863, 'rewards/rejected': -0.1239081397652626, 'rewards/accuracies': 0.5899999737739563, 'rewards/margins': 0.03485549986362457, 'logps/rejected': -1.2390813827514648, 'logps/chosen': -0.8905264139175415, 'logits/rejected': 2.032372236251831, 'logits/chosen': 2.057676315307617, 'nll_loss': 1.2320125102996826, 'log_odds_ratio': -0.4861927926540375, 'log_odds_chosen': 0.6261116862297058, 'epoch': 0.01495774437214868}
Step 150: {'loss': 1.2555, 'grad_norm': 4.650126934051514, 'learning_rate': 9.515859766277128e-05, 'rewards/chosen': -0.08751624077558517, 'rewards/rejected': -0.12132972478866577, 'rewards/accuracies': 0.5550000071525574, 'rewards/margins': 0.0338134840130806, 'logps/rejected': -1.2132971286773682, 'logps/chosen': -0.8751624822616577, 'logits/rejected': 1.8595619201660156, 'logits/chosen': 1.8763543367385864, 'nll_loss': 1.206263542175293, 'log_odds_ratio': -0.4922461211681366, 'log_odds_chosen': 0.6229591965675354, 'epoch': 0.02243661655822302}
Step 200: {'loss': 1.2512, 'grad_norm': 4.475119590759277, 'learning_rate': 9.348914858096829e-05, 'rewards/chosen': -0.08912398666143417, 'rewards/rejected': -0.12505696713924408, 'rewards/accuracies': 0.6175000071525574, 'rewards/margins': 0.0359329953789711, 'logps/rejected': -1.2505698204040527, 'logps/chosen': -0.8912398815155029, 'logits/rejected': 1.8946504592895508, 'logits/chosen': 1.9195388555526733, 'nll_loss': 1.2033281326293945, 'log_odds_ratio': -0.4786531925201416, 'log_odds_chosen': 0.6393218040466309, 'epoch': 0.02991548874429736}
Step 250: {'loss': 1.2581, 'grad_norm': 4.315337181091309, 'learning_rate': 9.181969949916528e-05, 'rewards/chosen': -0.09186635911464691, 'rewards/rejected': -0.12595458328723907, 'rewards/accuracies': 0.5950000286102295, 'rewards/margins': 0.03408820927143097, 'logps/rejected': -1.2595456838607788, 'logps/chosen': -0.9186636209487915, 'logits/rejected': 1.8975716829299927, 'logits/chosen': 1.9341949224472046, 'nll_loss': 1.2089030742645264, 'log_odds_ratio': -0.4917137920856476, 'log_odds_chosen': 0.5886472463607788, 'epoch': 0.0373943609303717}
Step 300: {'loss': 1.2689, 'grad_norm': 4.432700157165527, 'learning_rate': 9.015025041736227e-05, 'rewards/chosen': -0.08969675749540329, 'rewards/rejected': -0.12519021332263947, 'rewards/accuracies': 0.5924999713897705, 'rewards/margins': 0.035493455827236176, 'logps/rejected': -1.2519021034240723, 'logps/chosen': -0.8969675302505493, 'logits/rejected': 1.8681281805038452, 'logits/chosen': 1.8952438831329346, 'nll_loss': 1.2207896709442139, 'log_odds_ratio': -0.48145973682403564, 'log_odds_chosen': 0.6477339863777161, 'epoch': 0.04487323311644604}
Step 350: {'loss': 1.2812, 'grad_norm': 4.444934844970703, 'learning_rate': 8.848080133555928e-05, 'rewards/chosen': -0.08959230780601501, 'rewards/rejected': -0.1286497712135315, 'rewards/accuracies': 0.6100000143051147, 'rewards/margins': 0.03905745968222618, 'logps/rejected': -1.2864975929260254, 'logps/chosen': -0.8959228992462158, 'logits/rejected': 1.9098178148269653, 'logits/chosen': 1.9291378259658813, 'nll_loss': 1.2350322008132935, 'log_odds_ratio': -0.46158504486083984, 'log_odds_chosen': 0.7155917882919312, 'epoch': 0.05235210530252038}
Step 400: {'loss': 1.3492, 'grad_norm': 4.580747604370117, 'learning_rate': 8.681135225375627e-05, 'rewards/chosen': -0.09519152343273163, 'rewards/rejected': -0.13325846195220947, 'rewards/accuracies': 0.5774999856948853, 'rewards/margins': 0.03806694597005844, 'logps/rejected': -1.3325847387313843, 'logps/chosen': -0.9519151449203491, 'logits/rejected': 1.8304412364959717, 'logits/chosen': 1.850428819656372, 'nll_loss': 1.3015351295471191, 'log_odds_ratio': -0.47685158252716064, 'log_odds_chosen': 0.6696257591247559, 'epoch': 0.05983097748859472}
Step 450: {'loss': 1.2571, 'grad_norm': 4.775960445404053, 'learning_rate': 8.514190317195326e-05, 'rewards/chosen': -0.0904596596956253, 'rewards/rejected': -0.13185682892799377, 'rewards/accuracies': 0.625, 'rewards/margins': 0.04139715060591698, 'logps/rejected': -1.3185681104660034, 'logps/chosen': -0.9045966863632202, 'logits/rejected': 1.854170799255371, 'logits/chosen': 1.898252248764038, 'nll_loss': 1.2110308408737183, 'log_odds_ratio': -0.46073615550994873, 'log_odds_chosen': 0.7121296525001526, 'epoch': 0.06730984967466906}
Step 500: {'loss': 1.3118, 'grad_norm': 4.33340311050415, 'learning_rate': 8.347245409015025e-05, 'rewards/chosen': -0.09463797509670258, 'rewards/rejected': -0.13522659242153168, 'rewards/accuracies': 0.5899999737739563, 'rewards/margins': 0.04058860242366791, 'logps/rejected': -1.3522658348083496, 'logps/chosen': -0.9463798403739929, 'logits/rejected': 1.7971899509429932, 'logits/chosen': 1.8344368934631348, 'nll_loss': 1.2641292810440063, 'log_odds_ratio': -0.47632503509521484, 'log_odds_chosen': 0.679689347743988, 'epoch': 0.0747887218607434}
Step 550: {'loss': 1.2467, 'grad_norm': 4.331277370452881, 'learning_rate': 8.180300500834724e-05, 'rewards/chosen': -0.08899853378534317, 'rewards/rejected': -0.13055716454982758, 'rewards/accuracies': 0.6050000190734863, 'rewards/margins': 0.041558638215065, 'logps/rejected': -1.3055717945098877, 'logps/chosen': -0.8899853229522705, 'logits/rejected': 1.8572026491165161, 'logits/chosen': 1.895939588546753, 'nll_loss': 1.200373649597168, 'log_odds_ratio': -0.46354904770851135, 'log_odds_chosen': 0.7230184078216553, 'epoch': 0.08226759404681774}
