Step 50: {'loss': 0.4657, 'grad_norm': 6.86177921295166, 'learning_rate': 9.84974958263773e-05, 'rewards/chosen': -0.14617133140563965, 'rewards/rejected': -7.923123359680176, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 7.776953220367432, 'logps/rejected': -8.803471565246582, 'logps/chosen': -0.1624125987291336, 'logits/rejected': -0.6742379069328308, 'logits/chosen': -0.4812867343425751, 'nll_loss': 0.2227926403284073, 'log_odds_ratio': -0.26992514729499817, 'log_odds_chosen': 10.363086700439453, 'epoch': 0.00747887218607434}
Step 100: {'loss': 0.4595, 'grad_norm': 11.425735473632812, 'learning_rate': 9.682804674457429e-05, 'rewards/chosen': -0.1377972960472107, 'rewards/rejected': -8.502913475036621, 'rewards/accuracies': 0.625, 'rewards/margins': 8.365116119384766, 'logps/rejected': -9.447681427001953, 'logps/chosen': -0.15310810506343842, 'logits/rejected': -1.0448710918426514, 'logits/chosen': -0.8670513033866882, 'nll_loss': 0.22083689272403717, 'log_odds_ratio': -0.2651904225349426, 'log_odds_chosen': 10.907297134399414, 'epoch': 0.01495774437214868}
Step 150: {'loss': 0.4674, 'grad_norm': 21.673181533813477, 'learning_rate': 9.515859766277128e-05, 'rewards/chosen': -0.12483116239309311, 'rewards/rejected': -8.814170837402344, 'rewards/accuracies': 0.5924999713897705, 'rewards/margins': 8.689339637756348, 'logps/rejected': -9.793523788452148, 'logps/chosen': -0.13870128989219666, 'logits/rejected': -1.1772587299346924, 'logits/chosen': -0.9871295094490051, 'nll_loss': 0.21039436757564545, 'log_odds_ratio': -0.2855941653251648, 'log_odds_chosen': 11.201486587524414, 'epoch': 0.02243661655822302}
Step 200: {'loss': 0.4334, 'grad_norm': 12.603682518005371, 'learning_rate': 9.348914858096829e-05, 'rewards/chosen': -0.11726421117782593, 'rewards/rejected': -8.452686309814453, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 8.335421562194824, 'logps/rejected': -9.391874313354492, 'logps/chosen': -0.1302935630083084, 'logits/rejected': -1.1175436973571777, 'logits/chosen': -0.9554550051689148, 'nll_loss': 0.20768630504608154, 'log_odds_ratio': -0.2508057951927185, 'log_odds_chosen': 10.93517780303955, 'epoch': 0.02991548874429736}
Step 250: {'loss': 0.4575, 'grad_norm': 11.731000900268555, 'learning_rate': 9.181969949916528e-05, 'rewards/chosen': -0.1251634657382965, 'rewards/rejected': -8.657537460327148, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 8.532374382019043, 'logps/rejected': -9.619485855102539, 'logps/chosen': -0.1390705555677414, 'logits/rejected': -1.0937042236328125, 'logits/chosen': -0.9132888913154602, 'nll_loss': 0.2134408801794052, 'log_odds_ratio': -0.2711823284626007, 'log_odds_chosen': 11.067390441894531, 'epoch': 0.0373943609303717}
Step 300: {'loss': 0.4628, 'grad_norm': 8.695902824401855, 'learning_rate': 9.015025041736227e-05, 'rewards/chosen': -0.12867581844329834, 'rewards/rejected': -7.952662467956543, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 7.823986053466797, 'logps/rejected': -8.836291313171387, 'logps/chosen': -0.1429731249809265, 'logits/rejected': -1.0210790634155273, 'logits/chosen': -0.870495080947876, 'nll_loss': 0.21988798677921295, 'log_odds_ratio': -0.2699193060398102, 'log_odds_chosen': 10.310811996459961, 'epoch': 0.04487323311644604}
Step 350: {'loss': 0.4666, 'grad_norm': 13.97366714477539, 'learning_rate': 8.848080133555928e-05, 'rewards/chosen': -0.14012552797794342, 'rewards/rejected': -8.24756145477295, 'rewards/accuracies': 0.6324999928474426, 'rewards/margins': 8.107436180114746, 'logps/rejected': -9.163957595825195, 'logps/chosen': -0.15569503605365753, 'logits/rejected': -1.2863006591796875, 'logits/chosen': -1.0908085107803345, 'nll_loss': 0.2330455332994461, 'log_odds_ratio': -0.25951123237609863, 'log_odds_chosen': 10.630659103393555, 'epoch': 0.05235210530252038}
Step 400: {'loss': 0.5213, 'grad_norm': 23.84379005432129, 'learning_rate': 8.681135225375627e-05, 'rewards/chosen': -0.16536889970302582, 'rewards/rejected': -7.369707107543945, 'rewards/accuracies': 0.5950000286102295, 'rewards/margins': 7.204338550567627, 'logps/rejected': -8.18856430053711, 'logps/chosen': -0.18374325335025787, 'logits/rejected': -1.1334900856018066, 'logits/chosen': -0.9547280669212341, 'nll_loss': 0.26429757475852966, 'log_odds_ratio': -0.28550484776496887, 'log_odds_chosen': 9.465776443481445, 'epoch': 0.05983097748859472}
Step 450: {'loss': 0.4625, 'grad_norm': 14.19043254852295, 'learning_rate': 8.514190317195326e-05, 'rewards/chosen': -0.14391878247261047, 'rewards/rejected': -8.48676586151123, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 8.342846870422363, 'logps/rejected': -9.429740905761719, 'logps/chosen': -0.15990975499153137, 'logits/rejected': -1.0353248119354248, 'logits/chosen': -0.8537194132804871, 'nll_loss': 0.2352568507194519, 'log_odds_ratio': -0.25253280997276306, 'log_odds_chosen': 10.866263389587402, 'epoch': 0.06730984967466906}
Step 500: {'loss': 0.4952, 'grad_norm': 14.608559608459473, 'learning_rate': 8.347245409015025e-05, 'rewards/chosen': -0.15976305305957794, 'rewards/rejected': -8.339642524719238, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 8.179880142211914, 'logps/rejected': -9.266268730163574, 'logps/chosen': -0.17751450836658478, 'logits/rejected': -1.0895179510116577, 'logits/chosen': -0.8819059729576111, 'nll_loss': 0.25164729356765747, 'log_odds_ratio': -0.27058711647987366, 'log_odds_chosen': 10.526004791259766, 'epoch': 0.0747887218607434}
Step 550: {'loss': 0.4765, 'grad_norm': 16.749385833740234, 'learning_rate': 8.180300500834724e-05, 'rewards/chosen': -0.14370642602443695, 'rewards/rejected': -8.633066177368164, 'rewards/accuracies': 0.6274999976158142, 'rewards/margins': 8.489359855651855, 'logps/rejected': -9.592296600341797, 'logps/chosen': -0.15967382490634918, 'logits/rejected': -1.1587153673171997, 'logits/chosen': -0.9226453900337219, 'nll_loss': 0.2386598140001297, 'log_odds_ratio': -0.26423898339271545, 'log_odds_chosen': 10.994477272033691, 'epoch': 0.08226759404681774}
Step 600: {'loss': 0.4999, 'grad_norm': 8.79355239868164, 'learning_rate': 8.013355592654425e-05, 'rewards/chosen': -0.16968731582164764, 'rewards/rejected': -7.700716018676758, 'rewards/accuracies': 0.6299999952316284, 'rewards/margins': 7.531029224395752, 'logps/rejected': -8.556352615356445, 'logps/chosen': -0.1885414570569992, 'logits/rejected': -1.1073681116104126, 'logits/chosen': -0.8840895891189575, 'nll_loss': 0.26225563883781433, 'log_odds_ratio': -0.26404231786727905, 'log_odds_chosen': 9.908625602722168, 'epoch': 0.08974646623289208}
Step 650: {'loss': 0.5276, 'grad_norm': 17.387859344482422, 'learning_rate': 7.846410684474124e-05, 'rewards/chosen': -0.1653912514448166, 'rewards/rejected': -7.345991134643555, 'rewards/accuracies': 0.5799999833106995, 'rewards/margins': 7.180599212646484, 'logps/rejected': -8.162212371826172, 'logps/chosen': -0.18376807868480682, 'logits/rejected': -1.1506718397140503, 'logits/chosen': -0.9256672859191895, 'nll_loss': 0.26016202569007874, 'log_odds_ratio': -0.29714909195899963, 'log_odds_chosen': 9.351889610290527, 'epoch': 0.09722533841896643}
Step 700: {'loss': 0.4915, 'grad_norm': 12.586344718933105, 'learning_rate': 7.679465776293824e-05, 'rewards/chosen': -0.15635816752910614, 'rewards/rejected': -8.80233097076416, 'rewards/accuracies': 0.6349999904632568, 'rewards/margins': 8.64597225189209, 'logps/rejected': -9.780367851257324, 'logps/chosen': -0.17373128235340118, 'logits/rejected': -1.2095030546188354, 'logits/chosen': -0.9502447247505188, 'nll_loss': 0.25865843892097473, 'log_odds_ratio': -0.2587272524833679, 'log_odds_chosen': 11.154070854187012, 'epoch': 0.10470421060504076}
