Step 50: {'loss': 1.4572, 'grad_norm': 5.744343280792236, 'learning_rate': 9.84974958263773e-05, 'rewards/chosen': -0.7308285236358643, 'rewards/rejected': -1.3339005708694458, 'rewards/accuracies': 0.6175000071525574, 'rewards/margins': 0.6030721068382263, 'logps/rejected': -1.482111930847168, 'logps/chosen': -0.8120316863059998, 'logits/rejected': 1.4463711977005005, 'logits/chosen': 1.4792852401733398, 'nll_loss': 1.097416877746582, 'log_odds_ratio': -0.3997545540332794, 'log_odds_chosen': 1.0986517667770386, 'epoch': 0.00747887218607434}
Step 100: {'loss': 1.4524, 'grad_norm': 6.641907691955566, 'learning_rate': 9.682804674457429e-05, 'rewards/chosen': -0.7415007948875427, 'rewards/rejected': -1.6811232566833496, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 0.9396223425865173, 'logps/rejected': -1.8679145574569702, 'logps/chosen': -0.8238897919654846, 'logits/rejected': 1.4547882080078125, 'logits/chosen': 1.5008621215820312, 'nll_loss': 1.1165646314620972, 'log_odds_ratio': -0.37320631742477417, 'log_odds_chosen': 1.4872862100601196, 'epoch': 0.01495774437214868}
Step 150: {'loss': 1.4181, 'grad_norm': 7.923784255981445, 'learning_rate': 9.515859766277128e-05, 'rewards/chosen': -0.7193825244903564, 'rewards/rejected': -1.8801144361495972, 'rewards/accuracies': 0.5824999809265137, 'rewards/margins': 1.1607317924499512, 'logps/rejected': -2.0890159606933594, 'logps/chosen': -0.7993139624595642, 'logits/rejected': 1.3241161108016968, 'logits/chosen': 1.3734043836593628, 'nll_loss': 1.0905712842941284, 'log_odds_ratio': -0.36388835310935974, 'log_odds_chosen': 1.7515110969543457, 'epoch': 0.02243661655822302}
Step 200: {'loss': 1.3894, 'grad_norm': 5.533846855163574, 'learning_rate': 9.348914858096829e-05, 'rewards/chosen': -0.7317648530006409, 'rewards/rejected': -2.1781928539276123, 'rewards/accuracies': 0.637499988079071, 'rewards/margins': 1.4464281797409058, 'logps/rejected': -2.4202141761779785, 'logps/chosen': -0.8130720257759094, 'logits/rejected': 1.4468393325805664, 'logits/chosen': 1.4943745136260986, 'nll_loss': 1.0885286331176758, 'log_odds_ratio': -0.3342672288417816, 'log_odds_chosen': 2.0839991569519043, 'epoch': 0.02991548874429736}
Step 250: {'loss': 1.4039, 'grad_norm': 5.632123947143555, 'learning_rate': 9.181969949916528e-05, 'rewards/chosen': -0.7642629742622375, 'rewards/rejected': -2.441004991531372, 'rewards/accuracies': 0.6100000143051147, 'rewards/margins': 1.6767420768737793, 'logps/rejected': -2.7122278213500977, 'logps/chosen': -0.8491811156272888, 'logits/rejected': 1.4899505376815796, 'logits/chosen': 1.5384559631347656, 'nll_loss': 1.0973395109176636, 'log_odds_ratio': -0.34062251448631287, 'log_odds_chosen': 2.310703754425049, 'epoch': 0.0373943609303717}
Step 300: {'loss': 1.4208, 'grad_norm': 6.097855091094971, 'learning_rate': 9.015025041736227e-05, 'rewards/chosen': -0.7491133809089661, 'rewards/rejected': -2.41469407081604, 'rewards/accuracies': 0.6050000190734863, 'rewards/margins': 1.6655808687210083, 'logps/rejected': -2.6829938888549805, 'logps/chosen': -0.8323482275009155, 'logits/rejected': 1.4448961019515991, 'logits/chosen': 1.486477017402649, 'nll_loss': 1.1094704866409302, 'log_odds_ratio': -0.3458874225616455, 'log_odds_chosen': 2.3363287448883057, 'epoch': 0.04487323311644604}
Step 350: {'loss': 1.4214, 'grad_norm': 5.695209503173828, 'learning_rate': 8.848080133555928e-05, 'rewards/chosen': -0.7633103132247925, 'rewards/rejected': -2.7854397296905518, 'rewards/accuracies': 0.6225000023841858, 'rewards/margins': 2.022129535675049, 'logps/rejected': -3.094933271408081, 'logps/chosen': -0.8481225371360779, 'logits/rejected': 1.4405832290649414, 'logits/chosen': 1.4759941101074219, 'nll_loss': 1.1361539363861084, 'log_odds_ratio': -0.31696635484695435, 'log_odds_chosen': 2.7959952354431152, 'epoch': 0.05235210530252038}
Step 400: {'loss': 1.5012, 'grad_norm': 6.99852991104126, 'learning_rate': 8.681135225375627e-05, 'rewards/chosen': -0.8056055307388306, 'rewards/rejected': -3.046499013900757, 'rewards/accuracies': 0.5874999761581421, 'rewards/margins': 2.2408933639526367, 'logps/rejected': -3.3849987983703613, 'logps/chosen': -0.8951172828674316, 'logits/rejected': 1.3922497034072876, 'logits/chosen': 1.4275603294372559, 'nll_loss': 1.1943871974945068, 'log_odds_ratio': -0.34085333347320557, 'log_odds_chosen': 2.9733362197875977, 'epoch': 0.05983097748859472}
Step 450: {'loss': 1.3903, 'grad_norm': 15.044854164123535, 'learning_rate': 8.514190317195326e-05, 'rewards/chosen': -0.7670478820800781, 'rewards/rejected': -3.405690908432007, 'rewards/accuracies': 0.6349999904632568, 'rewards/margins': 2.638643264770508, 'logps/rejected': -3.7841014862060547, 'logps/chosen': -0.8522754907608032, 'logits/rejected': 1.460699200630188, 'logits/chosen': 1.5204952955245972, 'nll_loss': 1.1127270460128784, 'log_odds_ratio': -0.3084019124507904, 'log_odds_chosen': 3.4319522380828857, 'epoch': 0.06730984967466906}
Step 500: {'loss': 1.4512, 'grad_norm': 5.960245609283447, 'learning_rate': 8.347245409015025e-05, 'rewards/chosen': -0.7968133687973022, 'rewards/rejected': -3.8669981956481934, 'rewards/accuracies': 0.6050000190734863, 'rewards/margins': 3.0701849460601807, 'logps/rejected': -4.296664714813232, 'logps/chosen': -0.8853481411933899, 'logits/rejected': 1.3328654766082764, 'logits/chosen': 1.4150950908660889, 'nll_loss': 1.162113070487976, 'log_odds_ratio': -0.32120758295059204, 'log_odds_chosen': 3.8753223419189453, 'epoch': 0.0747887218607434}
Step 550: {'loss': 1.3909, 'grad_norm': 6.239574909210205, 'learning_rate': 8.180300500834724e-05, 'rewards/chosen': -0.7567327618598938, 'rewards/rejected': -4.064243316650391, 'rewards/accuracies': 0.612500011920929, 'rewards/margins': 3.3075103759765625, 'logps/rejected': -4.515826225280762, 'logps/chosen': -0.8408142328262329, 'logits/rejected': 1.3784434795379639, 'logits/chosen': 1.4474327564239502, 'nll_loss': 1.1073557138442993, 'log_odds_ratio': -0.3150990605354309, 'log_odds_chosen': 4.203569412231445, 'epoch': 0.08226759404681774}
Step 600: {'loss': 1.4416, 'grad_norm': 6.224104881286621, 'learning_rate': 8.013355592654425e-05, 'rewards/chosen': -0.7953169345855713, 'rewards/rejected': -4.566838264465332, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 3.7715213298797607, 'logps/rejected': -5.074265003204346, 'logps/chosen': -0.8836854696273804, 'logits/rejected': 1.3704571723937988, 'logits/chosen': 1.442112922668457, 'nll_loss': 1.1642407178878784, 'log_odds_ratio': -0.3082151710987091, 'log_odds_chosen': 4.718554496765137, 'epoch': 0.08974646623289208}
Step 650: {'loss': 1.4421, 'grad_norm': 11.227148056030273, 'learning_rate': 7.846410684474124e-05, 'rewards/chosen': -0.7792640924453735, 'rewards/rejected': -4.041202545166016, 'rewards/accuracies': 0.5674999952316284, 'rewards/margins': 3.2619380950927734, 'logps/rejected': -4.490224838256836, 'logps/chosen': -0.8658490180969238, 'logits/rejected': 1.3330943584442139, 'logits/chosen': 1.4225070476531982, 'nll_loss': 1.1348295211791992, 'log_odds_ratio': -0.34137076139450073, 'log_odds_chosen': 4.107524871826172, 'epoch': 0.09722533841896643}
Step 700: {'loss': 1.3731, 'grad_norm': 5.307902812957764, 'learning_rate': 7.679465776293824e-05, 'rewards/chosen': -0.7178744673728943, 'rewards/rejected': -4.808152198791504, 'rewards/accuracies': 0.6225000023841858, 'rewards/margins': 4.090278148651123, 'logps/rejected': -5.342392444610596, 'logps/chosen': -0.7976382374763489, 'logits/rejected': 1.2804043292999268, 'logits/chosen': 1.400829792022705, 'nll_loss': 1.098084568977356, 'log_odds_ratio': -0.3055920898914337, 'log_odds_chosen': 5.1001386642456055, 'epoch': 0.10470421060504076}
Step 750: {'loss': 1.4244, 'grad_norm': 5.69960880279541, 'learning_rate': 7.512520868113523e-05, 'rewards/chosen': -0.7759286761283875, 'rewards/rejected': -4.39326286315918, 'rewards/accuracies': 0.5924999713897705, 'rewards/margins': 3.6173343658447266, 'logps/rejected': -4.881403923034668, 'logps/chosen': -0.8621430397033691, 'logits/rejected': 1.2551965713500977, 'logits/chosen': 1.384345293045044, 'nll_loss': 1.1260316371917725, 'log_odds_ratio': -0.33149102330207825, 'log_odds_chosen': 4.53099250793457, 'epoch': 0.1121830827911151}
