Step 50: {'loss': 0.2744, 'grad_norm': 8.209064483642578, 'learning_rate': 9.84974958263773e-05, 'rewards/chosen': -0.018813956528902054, 'rewards/rejected': -0.6465010046958923, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 0.6276870965957642, 'logps/rejected': -6.465011119842529, 'logps/chosen': -0.18813955783843994, 'logits/rejected': -0.48709556460380554, 'logits/chosen': -0.38481321930885315, 'nll_loss': 0.24724946916103363, 'log_odds_ratio': -0.2713882029056549, 'log_odds_chosen': 7.908340930938721, 'epoch': 0.00747887218607434}
Step 100: {'loss': 0.2779, 'grad_norm': 13.755932807922363, 'learning_rate': 9.682804674457429e-05, 'rewards/chosen': -0.018003961071372032, 'rewards/rejected': -0.746296763420105, 'rewards/accuracies': 0.625, 'rewards/margins': 0.7282928228378296, 'logps/rejected': -7.4629669189453125, 'logps/chosen': -0.18003961443901062, 'logits/rejected': -0.9069034457206726, 'logits/chosen': -0.812653124332428, 'nll_loss': 0.2512799799442291, 'log_odds_ratio': -0.26598989963531494, 'log_odds_chosen': 8.802190780639648, 'epoch': 0.01495774437214868}
Step 150: {'loss': 0.2656, 'grad_norm': 16.161705017089844, 'learning_rate': 9.515859766277128e-05, 'rewards/chosen': -0.016130398958921432, 'rewards/rejected': -0.7380675673484802, 'rewards/accuracies': 0.5924999713897705, 'rewards/margins': 0.7219372391700745, 'logps/rejected': -7.380675792694092, 'logps/chosen': -0.16130399703979492, 'logits/rejected': -1.0830081701278687, 'logits/chosen': -0.9805285930633545, 'nll_loss': 0.2369692623615265, 'log_odds_ratio': -0.28641727566719055, 'log_odds_chosen': 8.705013275146484, 'epoch': 0.02243661655822302}
Step 200: {'loss': 0.2632, 'grad_norm': 17.163583755493164, 'learning_rate': 9.348914858096829e-05, 'rewards/chosen': -0.015410528518259525, 'rewards/rejected': -0.7103045582771301, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 0.694894015789032, 'logps/rejected': -7.103046417236328, 'logps/chosen': -0.1541052758693695, 'logits/rejected': -1.0301365852355957, 'logits/chosen': -0.9306403398513794, 'nll_loss': 0.2380373626947403, 'log_odds_ratio': -0.2512913644313812, 'log_odds_chosen': 8.553972244262695, 'epoch': 0.02991548874429736}
Step 250: {'loss': 0.2677, 'grad_norm': 10.724700927734375, 'learning_rate': 9.181969949916528e-05, 'rewards/chosen': -0.016043217852711678, 'rewards/rejected': -0.7574129700660706, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 0.7413697242736816, 'logps/rejected': -7.574129581451416, 'logps/chosen': -0.16043215990066528, 'logits/rejected': -0.895272433757782, 'logits/chosen': -0.781639575958252, 'nll_loss': 0.24046143889427185, 'log_odds_ratio': -0.27229592204093933, 'log_odds_chosen': 8.90979290008545, 'epoch': 0.0373943609303717}
Step 300: {'loss': 0.2796, 'grad_norm': 9.340449333190918, 'learning_rate': 9.015025041736227e-05, 'rewards/chosen': -0.01715623401105404, 'rewards/rejected': -0.7048206329345703, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 0.6876643896102905, 'logps/rejected': -7.048206806182861, 'logps/chosen': -0.1715623438358307, 'logits/rejected': -0.9644365906715393, 'logits/chosen': -0.8651691675186157, 'nll_loss': 0.25243639945983887, 'log_odds_ratio': -0.27125516533851624, 'log_odds_chosen': 8.394522666931152, 'epoch': 0.04487323311644604}
Step 350: {'loss': 0.2872, 'grad_norm': 12.518983840942383, 'learning_rate': 8.848080133555928e-05, 'rewards/chosen': -0.017563937231898308, 'rewards/rejected': -0.7082249522209167, 'rewards/accuracies': 0.6324999928474426, 'rewards/margins': 0.6906609535217285, 'logps/rejected': -7.082248687744141, 'logps/chosen': -0.175639346241951, 'logits/rejected': -1.0699245929718018, 'logits/chosen': -0.9531633853912354, 'nll_loss': 0.26114392280578613, 'log_odds_ratio': -0.2602372467517853, 'log_odds_chosen': 8.486425399780273, 'epoch': 0.05235210530252038}
Step 400: {'loss': 0.3275, 'grad_norm': 16.000219345092773, 'learning_rate': 8.681135225375627e-05, 'rewards/chosen': -0.02156352810561657, 'rewards/rejected': -0.6739878058433533, 'rewards/accuracies': 0.5950000286102295, 'rewards/margins': 0.6524242162704468, 'logps/rejected': -6.739877223968506, 'logps/chosen': -0.2156352549791336, 'logits/rejected': -0.9857115149497986, 'logits/chosen': -0.8766771554946899, 'nll_loss': 0.29890206456184387, 'log_odds_ratio': -0.28617244958877563, 'log_odds_chosen': 7.917036056518555, 'epoch': 0.05983097748859472}
Step 450: {'loss': 0.2906, 'grad_norm': 13.769251823425293, 'learning_rate': 8.514190317195326e-05, 'rewards/chosen': -0.01882227510213852, 'rewards/rejected': -0.7718745470046997, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 0.7530523538589478, 'logps/rejected': -7.718745231628418, 'logps/chosen': -0.1882227510213852, 'logits/rejected': -0.9014260768890381, 'logits/chosen': -0.7924267649650574, 'nll_loss': 0.26519685983657837, 'log_odds_ratio': -0.2538698613643646, 'log_odds_chosen': 9.042848587036133, 'epoch': 0.06730984967466906}
Step 500: {'loss': 0.3178, 'grad_norm': 15.103277206420898, 'learning_rate': 8.347245409015025e-05, 'rewards/chosen': -0.02140536531805992, 'rewards/rejected': -0.7495861649513245, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 0.7281809449195862, 'logps/rejected': -7.4958624839782715, 'logps/chosen': -0.214053675532341, 'logits/rejected': -0.9492608904838562, 'logits/chosen': -0.8165338635444641, 'nll_loss': 0.2906418442726135, 'log_odds_ratio': -0.2717787027359009, 'log_odds_chosen': 8.634780883789062, 'epoch': 0.0747887218607434}
Step 550: {'loss': 0.296, 'grad_norm': 13.322589874267578, 'learning_rate': 8.180300500834724e-05, 'rewards/chosen': -0.018518514931201935, 'rewards/rejected': -0.7661293745040894, 'rewards/accuracies': 0.6274999976158142, 'rewards/margins': 0.7476109266281128, 'logps/rejected': -7.661294460296631, 'logps/chosen': -0.18518513441085815, 'logits/rejected': -0.9843347072601318, 'logits/chosen': -0.8460925817489624, 'nll_loss': 0.26943278312683105, 'log_odds_ratio': -0.26533734798431396, 'log_odds_chosen': 8.98000717163086, 'epoch': 0.08226759404681774}
Step 600: {'loss': 0.3265, 'grad_norm': 10.309288024902344, 'learning_rate': 8.013355592654425e-05, 'rewards/chosen': -0.021874399855732918, 'rewards/rejected': -0.696713387966156, 'rewards/accuracies': 0.6299999952316284, 'rewards/margins': 0.6748390793800354, 'logps/rejected': -6.967134475708008, 'logps/chosen': -0.21874399483203888, 'logits/rejected': -0.965095043182373, 'logits/chosen': -0.8422579765319824, 'nll_loss': 0.2999908924102783, 'log_odds_ratio': -0.26544952392578125, 'log_odds_chosen': 8.198932647705078, 'epoch': 0.08974646623289208}
