Step 50: {'loss': 0.7383, 'grad_norm': 14.221017837524414, 'learning_rate': 9.84974958263773e-05, 'rewards/chosen': -0.279397577047348, 'rewards/rejected': -21.60531997680664, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 21.3259220123291, 'logps/rejected': -10.80265998840332, 'logps/chosen': -0.139698788523674, 'logits/rejected': -0.8001599311828613, 'logits/chosen': -0.5183566808700562, 'nll_loss': 0.2011316418647766, 'log_odds_ratio': -0.2685790956020355, 'log_odds_chosen': 12.474143028259277, 'epoch': 0.00747887218607434}
Step 100: {'loss': 0.734, 'grad_norm': 26.145593643188477, 'learning_rate': 9.682804674457429e-05, 'rewards/chosen': -0.2805073857307434, 'rewards/rejected': -21.790077209472656, 'rewards/accuracies': 0.625, 'rewards/margins': 21.509571075439453, 'logps/rejected': -10.895038604736328, 'logps/chosen': -0.1402536928653717, 'logits/rejected': -1.1326836347579956, 'logits/chosen': -0.8845736980438232, 'nll_loss': 0.2046261727809906, 'log_odds_ratio': -0.2646762430667877, 'log_odds_chosen': 12.377274513244629, 'epoch': 0.01495774437214868}
Step 150: {'loss': 0.7626, 'grad_norm': 26.910438537597656, 'learning_rate': 9.515859766277128e-05, 'rewards/chosen': -0.25331342220306396, 'rewards/rejected': -21.963451385498047, 'rewards/accuracies': 0.5924999713897705, 'rewards/margins': 21.71013832092285, 'logps/rejected': -10.981725692749023, 'logps/chosen': -0.12665671110153198, 'logits/rejected': -1.2165510654449463, 'logits/chosen': -0.9654830694198608, 'nll_loss': 0.19329321384429932, 'log_odds_ratio': -0.28465867042541504, 'log_odds_chosen': 12.40350341796875, 'epoch': 0.02243661655822302}
Step 200: {'loss': 0.6917, 'grad_norm': 14.369924545288086, 'learning_rate': 9.348914858096829e-05, 'rewards/chosen': -0.242635115981102, 'rewards/rejected': -20.948713302612305, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 20.706077575683594, 'logps/rejected': -10.474356651306152, 'logps/chosen': -0.121317557990551, 'logits/rejected': -1.1518405675888062, 'logits/chosen': -0.9280349016189575, 'nll_loss': 0.19147461652755737, 'log_odds_ratio': -0.25012969970703125, 'log_odds_chosen': 12.047080039978027, 'epoch': 0.02991548874429736}
Step 250: {'loss': 0.7347, 'grad_norm': 13.044231414794922, 'learning_rate': 9.181969949916528e-05, 'rewards/chosen': -0.24986891448497772, 'rewards/rejected': -19.573755264282227, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 19.32388687133789, 'logps/rejected': -9.786877632141113, 'logps/chosen': -0.12493445724248886, 'logits/rejected': -1.1293866634368896, 'logits/chosen': -0.9191715121269226, 'nll_loss': 0.19487999379634857, 'log_odds_ratio': -0.26992660760879517, 'log_odds_chosen': 11.269182205200195, 'epoch': 0.0373943609303717}
Step 300: {'loss': 0.7394, 'grad_norm': 10.0324125289917, 'learning_rate': 9.015025041736227e-05, 'rewards/chosen': -0.26768508553504944, 'rewards/rejected': -18.520061492919922, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 18.252376556396484, 'logps/rejected': -9.260030746459961, 'logps/chosen': -0.13384254276752472, 'logits/rejected': -1.075913429260254, 'logits/chosen': -0.8850855231285095, 'nll_loss': 0.20276308059692383, 'log_odds_ratio': -0.26832711696624756, 'log_odds_chosen': 10.72698974609375, 'epoch': 0.04487323311644604}
Step 350: {'loss': 0.7317, 'grad_norm': 16.773208618164062, 'learning_rate': 8.848080133555928e-05, 'rewards/chosen': -0.2826037108898163, 'rewards/rejected': -19.8905086517334, 'rewards/accuracies': 0.6324999928474426, 'rewards/margins': 19.6079044342041, 'logps/rejected': -9.9452543258667, 'logps/chosen': -0.14130185544490814, 'logits/rejected': -1.2733484506607056, 'logits/chosen': -1.0427497625350952, 'nll_loss': 0.21458230912685394, 'log_odds_ratio': -0.2585572898387909, 'log_odds_chosen': 11.475193977355957, 'epoch': 0.05235210530252038}
Step 400: {'loss': 0.8076, 'grad_norm': 27.134735107421875, 'learning_rate': 8.681135225375627e-05, 'rewards/chosen': -0.3253225088119507, 'rewards/rejected': -18.446496963500977, 'rewards/accuracies': 0.5950000286102295, 'rewards/margins': 18.121177673339844, 'logps/rejected': -9.223248481750488, 'logps/chosen': -0.16266125440597534, 'logits/rejected': -1.2269110679626465, 'logits/chosen': -1.0098693370819092, 'nll_loss': 0.23936371505260468, 'log_odds_ratio': -0.28413283824920654, 'log_odds_chosen': 10.54035758972168, 'epoch': 0.05983097748859472}
Step 450: {'loss': 0.7151, 'grad_norm': 15.714317321777344, 'learning_rate': 8.514190317195326e-05, 'rewards/chosen': -0.28210946917533875, 'rewards/rejected': -21.057506561279297, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 20.77539825439453, 'logps/rejected': -10.528753280639648, 'logps/chosen': -0.14105473458766937, 'logits/rejected': -1.1382701396942139, 'logits/chosen': -0.9197436571121216, 'nll_loss': 0.21189576387405396, 'log_odds_ratio': -0.25161921977996826, 'log_odds_chosen': 12.027273178100586, 'epoch': 0.06730984967466906}
Step 500: {'loss': 0.7671, 'grad_norm': 17.216468811035156, 'learning_rate': 8.347245409015025e-05, 'rewards/chosen': -0.3197875916957855, 'rewards/rejected': -21.231042861938477, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 20.911256790161133, 'logps/rejected': -10.615521430969238, 'logps/chosen': -0.15989379584789276, 'logits/rejected': -1.1779230833053589, 'logits/chosen': -0.9239426255226135, 'nll_loss': 0.22792668640613556, 'log_odds_ratio': -0.2695957124233246, 'log_odds_chosen': 11.932236671447754, 'epoch': 0.0747887218607434}
Step 550: {'loss': 0.7444, 'grad_norm': 14.824996948242188, 'learning_rate': 8.180300500834724e-05, 'rewards/chosen': -0.28682294487953186, 'rewards/rejected': -20.634449005126953, 'rewards/accuracies': 0.6274999976158142, 'rewards/margins': 20.347625732421875, 'logps/rejected': -10.317224502563477, 'logps/chosen': -0.14341147243976593, 'logits/rejected': -1.189998984336853, 'logits/chosen': -0.9232591986656189, 'nll_loss': 0.21837376058101654, 'log_odds_ratio': -0.2629963457584381, 'log_odds_chosen': 11.762151718139648, 'epoch': 0.08226759404681774}
