Step 50: {'loss': 0.9515, 'grad_norm': 20.51072883605957, 'learning_rate': 9.84974958263773e-05, 'rewards/chosen': -0.6395771503448486, 'rewards/rejected': -20.904216766357422, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 20.264638900756836, 'logps/rejected': -10.452108383178711, 'logps/chosen': -0.3197885751724243, 'logits/rejected': -0.3390408754348755, 'logits/chosen': -0.05148071423172951, 'nll_loss': 0.4045485556125641, 'log_odds_ratio': -0.27347561717033386, 'log_odds_chosen': 11.429216384887695, 'epoch': 0.007479012022511826}
Step 100: {'loss': 0.9424, 'grad_norm': 24.466020584106445, 'learning_rate': 9.682804674457429e-05, 'rewards/chosen': -0.6199026703834534, 'rewards/rejected': -19.642040252685547, 'rewards/accuracies': 0.625, 'rewards/margins': 19.022136688232422, 'logps/rejected': -9.821020126342773, 'logps/chosen': -0.3099513351917267, 'logits/rejected': -0.573578417301178, 'logits/chosen': -0.380066454410553, 'nll_loss': 0.4054597020149231, 'log_odds_ratio': -0.26844552159309387, 'log_odds_chosen': 10.78601360321045, 'epoch': 0.014958024045023652}
Step 150: {'loss': 0.9659, 'grad_norm': 50.63032913208008, 'learning_rate': 9.515859766277128e-05, 'rewards/chosen': -0.5699331760406494, 'rewards/rejected': -20.364381790161133, 'rewards/accuracies': 0.5924999713897705, 'rewards/margins': 19.794448852539062, 'logps/rejected': -10.182190895080566, 'logps/chosen': -0.2849665880203247, 'logits/rejected': -0.7105326056480408, 'logits/chosen': -0.5014556050300598, 'nll_loss': 0.38664883375167847, 'log_odds_ratio': -0.28960320353507996, 'log_odds_chosen': 11.088016510009766, 'epoch': 0.022437036067535478}
Step 200: {'loss': 0.9137, 'grad_norm': 20.432083129882812, 'learning_rate': 9.348914858096829e-05, 'rewards/chosen': -0.5914342999458313, 'rewards/rejected': -19.340389251708984, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 18.74895477294922, 'logps/rejected': -9.670194625854492, 'logps/chosen': -0.29571714997291565, 'logits/rejected': -0.66339510679245, 'logits/chosen': -0.47918832302093506, 'nll_loss': 0.4078274071216583, 'log_odds_ratio': -0.25294560194015503, 'log_odds_chosen': 10.633645057678223, 'epoch': 0.029916048090047304}
Step 250: {'loss': 0.9522, 'grad_norm': 23.018083572387695, 'learning_rate': 9.181969949916528e-05, 'rewards/chosen': -0.6047091484069824, 'rewards/rejected': -19.559167861938477, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 18.954458236694336, 'logps/rejected': -9.779583930969238, 'logps/chosen': -0.3023545742034912, 'logits/rejected': -0.571533739566803, 'logits/chosen': -0.37366077303886414, 'nll_loss': 0.40122130513191223, 'log_odds_ratio': -0.2754729390144348, 'log_odds_chosen': 10.643427848815918, 'epoch': 0.03739506011255913}
Step 300: {'loss': 0.9689, 'grad_norm': 19.575843811035156, 'learning_rate': 9.015025041736227e-05, 'rewards/chosen': -0.6202167272567749, 'rewards/rejected': -17.892431259155273, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 17.272214889526367, 'logps/rejected': -8.946215629577637, 'logps/chosen': -0.31010836362838745, 'logits/rejected': -0.6400941610336304, 'logits/chosen': -0.45063361525535583, 'nll_loss': 0.4189894497394562, 'log_odds_ratio': -0.27495017647743225, 'log_odds_chosen': 9.833828926086426, 'epoch': 0.044874072135070955}
Step 350: {'loss': 0.9633, 'grad_norm': 23.73974609375, 'learning_rate': 8.848080133555928e-05, 'rewards/chosen': -0.6531108617782593, 'rewards/rejected': -19.35393524169922, 'rewards/accuracies': 0.6324999928474426, 'rewards/margins': 18.700822830200195, 'logps/rejected': -9.67696762084961, 'logps/chosen': -0.32655543088912964, 'logits/rejected': -0.8054643273353577, 'logits/chosen': -0.5669697523117065, 'nll_loss': 0.4404333233833313, 'log_odds_ratio': -0.26145726442337036, 'log_odds_chosen': 10.605180740356445, 'epoch': 0.05235308415758278}
Step 400: {'loss': 1.0646, 'grad_norm': 40.25642013549805, 'learning_rate': 8.681135225375627e-05, 'rewards/chosen': -0.743018388748169, 'rewards/rejected': -19.100614547729492, 'rewards/accuracies': 0.5950000286102295, 'rewards/margins': 18.35759735107422, 'logps/rejected': -9.550307273864746, 'logps/chosen': -0.3715091943740845, 'logits/rejected': -0.7647328972816467, 'logits/chosen': -0.5307393074035645, 'nll_loss': 0.48575150966644287, 'log_odds_ratio': -0.28944045305252075, 'log_odds_chosen': 10.278385162353516, 'epoch': 0.05983209618009461}
Step 450: {'loss': 0.9487, 'grad_norm': 26.285249710083008, 'learning_rate': 8.514190317195326e-05, 'rewards/chosen': -0.6734011769294739, 'rewards/rejected': -22.516376495361328, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 21.842975616455078, 'logps/rejected': -11.258188247680664, 'logps/chosen': -0.33670058846473694, 'logits/rejected': -0.699673056602478, 'logits/chosen': -0.43623489141464233, 'nll_loss': 0.4371567666530609, 'log_odds_ratio': -0.2557743787765503, 'log_odds_chosen': 12.072823524475098, 'epoch': 0.06731110820260644}
Step 500: {'loss': 1.0308, 'grad_norm': 26.704696655273438, 'learning_rate': 8.347245409015025e-05, 'rewards/chosen': -0.7490701079368591, 'rewards/rejected': -21.198657989501953, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 20.449586868286133, 'logps/rejected': -10.599328994750977, 'logps/chosen': -0.37453505396842957, 'logits/rejected': -0.6772750616073608, 'logits/chosen': -0.3841560482978821, 'nll_loss': 0.48265618085861206, 'log_odds_ratio': -0.27409446239471436, 'log_odds_chosen': 11.26384162902832, 'epoch': 0.07479012022511826}
Step 550: {'loss': 0.9832, 'grad_norm': 26.012971878051758, 'learning_rate': 8.180300500834724e-05, 'rewards/chosen': -0.6628648638725281, 'rewards/rejected': -21.242347717285156, 'rewards/accuracies': 0.6274999976158142, 'rewards/margins': 20.579484939575195, 'logps/rejected': -10.621173858642578, 'logps/chosen': -0.33143243193626404, 'logits/rejected': -0.7381935119628906, 'logits/chosen': -0.4354821443557739, 'nll_loss': 0.4474680721759796, 'log_odds_ratio': -0.26788830757141113, 'log_odds_chosen': 11.455205917358398, 'epoch': 0.08226913224763009}
Step 600: {'loss': 1.0309, 'grad_norm': 26.11213493347168, 'learning_rate': 8.013355592654425e-05, 'rewards/chosen': -0.7668795585632324, 'rewards/rejected': -19.570655822753906, 'rewards/accuracies': 0.6299999952316284, 'rewards/margins': 18.80377960205078, 'logps/rejected': -9.785327911376953, 'logps/chosen': -0.3834397792816162, 'logits/rejected': -0.7263705730438232, 'logits/chosen': -0.4510211944580078, 'nll_loss': 0.49580061435699463, 'log_odds_ratio': -0.26756751537323, 'log_odds_chosen': 10.538141250610352, 'epoch': 0.08974814427014191}
Step 650: {'loss': 1.0788, 'grad_norm': 120.96265411376953, 'learning_rate': 7.846410684474124e-05, 'rewards/chosen': -0.7183313965797424, 'rewards/rejected': -17.532268524169922, 'rewards/accuracies': 0.5799999833106995, 'rewards/margins': 16.81393814086914, 'logps/rejected': -8.766134262084961, 'logps/chosen': -0.3591656982898712, 'logits/rejected': -0.7152135968208313, 'logits/chosen': -0.45485812425613403, 'nll_loss': 0.4775417745113373, 'log_odds_ratio': -0.3006414473056793, 'log_odds_chosen': 9.446573257446289, 'epoch': 0.09722715629265374}
Step 700: {'loss': 1.0078, 'grad_norm': 20.741952896118164, 'learning_rate': 7.679465776293824e-05, 'rewards/chosen': -0.6992742419242859, 'rewards/rejected': -20.519723892211914, 'rewards/accuracies': 0.6349999904632568, 'rewards/margins': 19.82044792175293, 'logps/rejected': -10.259861946105957, 'logps/chosen': -0.34963712096214294, 'logits/rejected': -0.7545963525772095, 'logits/chosen': -0.4629552364349365, 'nll_loss': 0.4813801646232605, 'log_odds_ratio': -0.263211727142334, 'log_odds_chosen': 11.071154594421387, 'epoch': 0.10470616831516556}
